Nordvik;74.0165;111.5100;Russia;0
Ambarchik;69.6510;162.3336;Russia;0
Logashkino;70.8504;153.9000;Russia;0
Chernobyl;51.3894;30.0989;Ukraine;0
Agdam;40.9053;45.5564;Azerbaijan;0
Ennadai;61.1333;-100.8833;Canada;0
Zillah;28.5504;17.5834;Libya;10
Hodrogo;48.9664;96.7833;Mongolia;10
Chegga;25.3804;-5.7800;Mauritania;10
Bir Mogrein;25.2333;-11.5833;Mauritania;10
Djado;21.0150;12.3075;Niger;10
El Porvenir;9.5417;-78.9720;Panama;10
Gueppi;-0.1166;-75.2300;Peru;10
Andoas;-2.9021;-76.4025;Peru;10
Soldado Bartra;-2.5161;-75.7666;Peru;10
Puca Urco;-2.3328;-71.9167;Peru;10
Numto;63.6667;71.3333;Russia;10
Khorgo;73.4833;113.6300;Russia;10
Olenek;68.5250;112.4500;Russia;10
Peregrebnoye;62.9670;65.0859;Russia;10
Matochkin Shar;73.2700;56.4497;Russia;10
Laryak;61.1012;80.2514;Russia;10
Varnek;69.7301;60.0636;Russia;10
Indiga;67.6898;49.0166;Russia;10
Zvezdnyy;70.9566;-179.5900;Russia;10
Agapa;71.4504;89.2500;Russia;10
Yessey;68.4837;102.1666;Russia;10
Podkamennaya;61.5995;90.1236;Russia;10
Komsa;61.8680;89.2577;Russia;10
Starorybnoye;72.7666;104.8000;Russia;10
Omchak;61.6333;147.9167;Russia;10
Trofimovsk;72.5997;127.0337;Russia;10
Gyda;70.8814;78.4661;Russia;10
Sagastyr;73.3779;126.5924;Russia;10
Manily;62.5500;165.3000;Russia;10
Bol'sheretsk;52.4390;156.3594;Russia;10
Utkholok;57.5504;157.2333;Russia;10
Karamken;60.2004;151.1666;Russia;10
Siglan;59.0337;152.4166;Russia;10
Pakhachi;60.5816;169.0500;Russia;10
Menkere;67.9886;123.3505;Russia;10
Strelka;61.8670;152.2502;Russia;10
Tunguskhaya;64.9004;125.2500;Russia;10
Terbyas;64.3761;120.5469;Russia;10
Ulkan;55.9004;107.7833;Russia;10
Zhilinda;70.1337;114.0000;Russia;10
Ust Olensk;72.9978;119.7729;Russia;10
Chagda;60.1000;133.9000;Russia;10
Tukchi;57.3670;139.5000;Russia;10
Nyukzha;56.5312;121.6131;Russia;10
Khakhar;57.6666;135.4300;Russia;10
Il'pyrskiy;59.9674;164.1720;Russia;10
Zemlya Bunge;74.8983;142.1050;Russia;10
Shalaurova;73.2204;143.1833;Russia;10
Puerto Heath;-12.4996;-68.6666;Bolivia;10
Villa Martin;-20.7666;-67.7833;Bolivia;10
Island Lake;53.9666;-94.7666;Canada;10
Big Beaver House;52.9500;-89.8833;Canada;10
Lagunas;-20.9829;-69.6833;Chile;10
Berenice;23.9460;35.4842;Egypt;10
Nord;81.7166;-17.8000;Greenland;10
Timmiarmiut;62.5333;-42.2167;Greenland;10
Qeqertasuaq;69.2442;-53.5652;Greenland;10
Kovda;66.6903;32.8702;Russia;20
Cuya;-19.1167;-70.1333;Chile;20
Grise Fiord;76.4417;-82.9500;Canada;23
Nuevo Rocafuerte;-0.9329;-75.4000;Peru;40
As Sidr;30.6704;18.2666;Libya;50
Kingoonya;-30.8996;135.3000;Australia;50
Savissivik;76.0195;-65.1125;Greenland;66
Piso Firme;-13.6830;-61.8666;Bolivia;72
Burwash Landing;61.3504;-139.0000;Canada;73
Uranium City;59.5666;-108.6166;Canada;89
Grytviken;-54.2806;-36.5080;South Georgia And South Sandwich Islands;99
Burylbaytal;44.9387;74.0303;Kazakhstan;100
El Agheila;30.2570;19.2000;Libya;100
Vorontsovo;71.6983;83.5642;Russia;100
Mukhomornoye;66.4171;173.3333;Russia;100
Mucusso;-18.0195;21.4300;Angola;100
Nyingchi;29.5333;94.4167;China;100
Ituni;5.4300;-58.2500;Guyana;100
Lutselke;62.4001;-110.7333;Canada;102
Salluit;62.1826;-75.6595;Canada;106
Sharbaqty;52.4999;78.1499;Kazakhstan;107
Lansdowne House;52.2166;-87.8833;Canada;120
Rigolet;54.1766;-58.4473;Canada;124
Alert;82.4833;-62.2500;Canada;125
Fort Severn;55.9833;-87.6500;Canada;125
Bifoum;-0.3329;10.3832;Gabon;134
Telukbutun;4.2170;108.2000;Indonesia;140
Bedourie;-24.3496;139.4666;Australia;142
Narsarsuaq;61.1666;-45.4166;Greenland;145
Progress;49.7504;129.6167;Russia;146
Cuito Caunavale;-15.1596;19.1700;Angola;149
Bafwasende;1.0838;27.2666;Congo (Kinshasa);149
La Esmeralda;3.1738;-65.5466;Venezuela;150
Luiana;-17.3695;23.0000;Angola;150
Stony Rapids;59.2666;-105.8333;Canada;152
Ivugivik;62.4166;-77.9000;Canada;156
Al Qunfudhah;19.1264;41.0789;Saudi Arabia;157
